onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	gender	ethn_target	ethn_match	ethn_distractor	emo_match
10.0099	1.2698	control	1.2698	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0181	0.7814999999999994	control	0.7814999999999994	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
20.0264	0.6011000000000024	control	0.6011000000000024	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0346	0.6457999999999977	control	0.6457999999999977	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
30.0429	0.5473999999999997	control	0.5473999999999997	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
35.0511	0.605000000000004	control	0.605000000000004	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
40.0593	1.7997000000000014	emotion	1.7997000000000014	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0676	1.3643	emotion	1.3643	right	correct	n/a	male	black	black	black	anger
50.0758	1.0319999999999965	emotion	1.0319999999999965	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0841	1.1304999999999978	emotion	1.1304999999999978	left	correct	n/a	male	black	black	black	fear
60.0923	1.1732999999999976	emotion	1.1732999999999976	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1006	0.9917999999999978	emotion	0.9917999999999978	right	correct	n/a	female	asian	black	asian	fear
70.1088	1.2254999999999967	control	1.2254999999999967	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
75.1171	0.5931000000000068	control	0.5931000000000068	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1253	0.4738000000000113	control	0.4738000000000113	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
85.1336	0.5973999999999933	control	0.5973999999999933	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
90.1418	0.5390999999999906	control	0.5390999999999906	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.15	1.8526999999999987	control	1.8526999999999987	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
100.1583	1.371300000000005	emotion	1.371300000000005	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1665	1.0430000000000064	emotion	1.0430000000000064	left	correct	n/a	male	black	black	black	anger
110.1748	0.8806000000000012	emotion	0.8806000000000012	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.183	1.0191999999999979	emotion	1.0191999999999979	right	correct	n/a	male	black	black	black	fear
120.1913	0.8808999999999969	emotion	0.8808999999999969	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.1995	1.4394999999999953	emotion	1.4394999999999953	left	correct	n/a	female	asian	black	asian	anger
130.2078	0.8511000000000024	control	0.8511000000000024	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.216	0.5908000000000015	control	0.5908000000000015	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2243	0.6174000000000035	control	0.6174000000000035	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2325	0.7571000000000083	control	0.7571000000000083	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
150.2407	0.6458000000000084	control	0.6458000000000084	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
155.249	0.6914000000000158	control	0.6914000000000158	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2572	1.6149999999999807	emotion	1.6149999999999807	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2655	0.8536000000000001	emotion	0.8536000000000001	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2737	0.9262999999999977	emotion	0.9262999999999977	right	correct	n/a	male	black	black	black	anger
175.282	1.2827999999999804	emotion	1.2827999999999804	left	correct	n/a	female	black	asian	asian	anger
180.2902	0.9175999999999931	emotion	0.9175999999999931	right	correct	n/a	male	caucasian	caucasian	white	fear
185.2985	1.1701000000000192	emotion	1.1701000000000192	right	correct	n/a	female	asian	asian	black	fear
190.3067	1.3437999999999874	control	1.3437999999999874	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
195.3149	0.5995000000000061	control	0.5995000000000061	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
200.3232	0.5910999999999831	control	0.5910999999999831	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
205.3314	0.5378000000000043	control	0.5378000000000043	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
210.3397	0.8552999999999997	control	0.8552999999999997	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
215.3479	0.782999999999987	control	0.782999999999987	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
220.3562	1.2075999999999851	emotion	1.2075999999999851	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3644	0.929300000000012	emotion	0.929300000000012	left	correct	n/a	female	black	asian	asian	fear
230.3727	0.8868999999999971	emotion	0.8868999999999971	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3809	1.1255000000000166	emotion	1.1255000000000166	left	correct	n/a	male	black	black	black	fear
240.3892	1.303200000000004	emotion	1.303200000000004	right	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
245.3974	1.3677999999999884	emotion	1.3677999999999884	right	correct	n/a	female	asian	asian	black	anger
