onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	gender	ethn_target	ethn_match	ethn_distractor	emo_match
10.0183	1.5233000000000008	control	1.5233000000000008	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0265	1.5348999999999986	control	1.5348999999999986	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
20.0347	1.3515999999999977	control	1.3515999999999977	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
25.0429	1.0852000000000004	control	1.0852000000000004	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0511	1.034799999999997	control	1.034799999999997	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
35.0592	1.0205000000000055	control	1.0205000000000055	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
40.0674	2.2131000000000043	emotion	2.2131000000000043	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0756	1.5477999999999952	emotion	1.5477999999999952	right	correct	n/a	male	black	black	black	anger
50.0838	1.659400000000005	emotion	1.659400000000005	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.092	1.7270000000000039	emotion	1.7270000000000039	left	correct	n/a	male	black	black	black	fear
60.1002	2.4405999999999963	emotion	2.4405999999999963	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1084	1.5862999999999943	emotion	1.5862999999999943	right	correct	n/a	female	asian	black	asian	fear
70.1165	1.4380000000000024	control	1.4380000000000024	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
75.1247	0.921599999999998	control	0.921599999999998	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
80.1329	1.1622999999999877	control	1.1622999999999877	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1411	0.9919000000000011	control	0.9919000000000011	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1493	0.6966000000000037	control	0.6966000000000037	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
95.1575	1.2121000000000066	control	1.2121000000000066	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
100.1657	1.4107999999999947	emotion	1.4107999999999947	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1738	1.1484999999999985	emotion	1.1484999999999985	left	correct	n/a	male	black	black	black	anger
110.182	1.6401000000000039	emotion	1.6401000000000039	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1902	1.3977000000000004	emotion	1.3977000000000004	right	correct	n/a	male	black	black	black	fear
120.1984	1.2583999999999946	emotion	1.2583999999999946	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2066	2.111000000000004	emotion	2.111000000000004	left	correct	n/a	female	asian	black	asian	anger
130.2148	1.042599999999993	control	1.042599999999993	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.223	0.9181999999999846	control	0.9181999999999846	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2311	0.7650000000000148	control	0.7650000000000148	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2393	0.9976000000000056	control	0.9976000000000056	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
150.2475	0.7061999999999955	control	0.7061999999999955	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
155.2557	0.7399000000000058	control	0.7399000000000058	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2639	2.099400000000003	emotion	2.099400000000003	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2721	1.251100000000008	emotion	1.251100000000008	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2803	1.228699999999975	emotion	1.228699999999975	right	correct	n/a	male	black	black	black	anger
175.2885	1.696300000000008	emotion	1.696300000000008	left	correct	n/a	female	black	asian	asian	anger
180.2966	1.3050999999999817	emotion	1.3050999999999817	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3048	1.1976999999999975	emotion	1.1976999999999975	right	correct	n/a	female	asian	asian	black	fear
190.313	0.804300000000012	control	0.804300000000012	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
195.3212	0.6998999999999853	control	0.6998999999999853	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
200.3294	0.6366000000000156	control	0.6366000000000156	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
205.3376	0.6811999999999898	control	0.6811999999999898	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3458	0.6617999999999995	control	0.6617999999999995	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3539	0.8884999999999934	control	0.8884999999999934	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
220.3621	1.2922000000000082	emotion	1.2922000000000082	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3703	1.309800000000024	emotion	1.309800000000024	left	correct	n/a	female	black	asian	asian	fear
230.3785	1.1474000000000046	emotion	1.1474000000000046	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3867	1.1160000000000139	emotion	1.1160000000000139	left	correct	n/a	male	black	black	black	fear
240.3949	1.7755999999999972	emotion	1.7755999999999972	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.4031	1.5773000000000081	emotion	1.5773000000000081	right	correct	n/a	female	asian	asian	black	anger
