onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	gender	ethn_target	ethn_match	ethn_distractor	emo_match
10.0176	3.315100000000001	control	3.315100000000001	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0258	0.9117999999999995	control	0.9117999999999995	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
20.0341	0.7344000000000008	control	0.7344000000000008	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0423	2.0279999999999987	control	2.0279999999999987	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
30.0506	0.6756999999999991	control	0.6756999999999991	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
35.0588	0.6674000000000007	control	0.6674000000000007	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
40.067	2.0959999999999965	emotion	2.0959999999999965	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0753	1.549599999999998	emotion	1.549599999999998	right	correct	n/a	male	black	black	black	anger
50.0835	1.6882999999999981	emotion	1.6882999999999981	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0918	1.9757999999999996	emotion	1.9757999999999996	left	correct	n/a	male	black	black	black	fear
60.1	1.9014999999999986	emotion	1.9014999999999986	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1083	1.3061000000000007	emotion	1.3061000000000007	right	correct	n/a	female	asian	black	asian	fear
70.1165	0.6987999999999914	control	0.6987999999999914	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
75.1247	4.562399999999997	control	4.562399999999997	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
80.133	1.464100000000002	control	1.464100000000002	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
85.1412	0.9656999999999982	control	0.9656999999999982	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1495	0.8563999999999936	control	0.8563999999999936	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.1577	0.7080999999999875	control	0.7080999999999875	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
100.166	2.2165999999999997	emotion	2.2165999999999997	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1742	2.1083	emotion	2.1083	left	correct	n/a	male	black	black	black	anger
110.1825	4.324799999999996	emotion	4.324799999999996	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1907	2.9594999999999914	emotion	2.9594999999999914	right	correct	n/a	male	black	black	black	fear
120.1989	1.8111999999999995	emotion	1.8111999999999995	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2072	1.8148000000000053	emotion	1.8148000000000053	left	correct	n/a	female	asian	black	asian	anger
130.2154	0.9314999999999998	control	0.9314999999999998	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
135.2237	0.8500999999999976	control	0.8500999999999976	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2319	0.8068000000000097	control	0.8068000000000097	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
145.2402	1.1544000000000096	control	1.1544000000000096	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2484	1.0371000000000095	control	1.0371000000000095	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.2567	0.7276999999999987	control	0.7276999999999987	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2649	1.8733000000000004	emotion	1.8733000000000004	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2731	1.891999999999996	emotion	1.891999999999996	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2814	1.880500000000012	emotion	1.880500000000012	right	correct	n/a	male	black	black	black	anger
175.2896	2.805199999999985	emotion	2.805199999999985	left	correct	n/a	female	black	asian	asian	anger
180.2979	1.3599000000000103	emotion	1.3599000000000103	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3061	1.7065000000000055	emotion	1.7065000000000055	right	correct	n/a	female	asian	asian	black	fear
190.3144	0.747099999999989	control	0.747099999999989	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
195.3226	0.6058000000000163	control	0.6058000000000163	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3309	0.7453999999999894	control	0.7453999999999894	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
205.3391	0.7861000000000047	control	0.7861000000000047	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3473	0.8288000000000011	control	0.8288000000000011	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
215.3556	0.5403999999999769	control	0.5403999999999769	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
220.3638	3.2150000000000034	emotion	3.2150000000000034	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3721	1.50060000000002	emotion	1.50060000000002	left	correct	n/a	female	black	asian	asian	fear
230.3803	1.3563000000000045	emotion	1.3563000000000045	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3886	1.4189000000000078	emotion	1.4189000000000078	left	correct	n/a	male	black	black	black	fear
240.3968	1.2725999999999829	emotion	1.2725999999999829	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.4051	1.5870999999999924	emotion	1.5870999999999924	right	correct	n/a	female	asian	asian	black	anger
