onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	gender	ethn_target	ethn_match	ethn_distractor	emo_match
10.0103	0.9484999999999992	control	0.9484999999999992	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0185	0.9072000000000013	control	0.9072000000000013	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
20.0268	1.0687999999999995	control	1.0687999999999995	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0351	0.7033999999999985	control	0.7033999999999985	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0433	0.6121000000000016	control	0.6121000000000016	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0516	0.5396999999999963	control	0.5396999999999963	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
40.0598	1.3703999999999965	emotion	1.3703999999999965	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0681	1.069899999999997	emotion	1.069899999999997	right	correct	n/a	male	black	black	black	anger
50.0763	0.9276999999999944	emotion	0.9276999999999944	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0846	1.2571999999999974	emotion	1.2571999999999974	left	correct	n/a	male	black	black	black	fear
60.0929	1.2708000000000013	emotion	1.2708000000000013	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1011	0.9184999999999945	emotion	0.9184999999999945	right	correct	n/a	female	asian	black	asian	fear
70.1094	1.0361000000000047	control	1.0361000000000047	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
75.1176	0.4479000000000042	control	0.4479000000000042	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1259	0.4444000000000017	control	0.4444000000000017	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
85.1342	0.5429999999999922	control	0.5429999999999922	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1424	0.5797000000000025	control	0.5797000000000025	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
95.1507	0.5182999999999964	control	0.5182999999999964	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
100.1589	1.7019999999999982	emotion	1.7019999999999982	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1672	1.1096000000000004	emotion	1.1096000000000004	left	correct	n/a	male	black	black	black	anger
110.1755	1.0412000000000035	emotion	1.0412000000000035	left	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
115.1837	1.312899999999999	emotion	1.312899999999999	right	correct	n/a	male	black	black	black	fear
120.192	1.1455000000000126	emotion	1.1455000000000126	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2002	1.46520000000001	emotion	1.46520000000001	left	correct	n/a	female	asian	black	asian	anger
130.2085	0.7458000000000027	control	0.7458000000000027	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.2168	1.1443999999999903	control	1.1443999999999903	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.225	0.7101000000000113	control	0.7101000000000113	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
145.2333	0.6066999999999894	control	0.6066999999999894	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2415	0.6784000000000106	control	0.6784000000000106	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.2498	0.9420000000000073	control	0.9420000000000073	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
160.2581	1.6055999999999813	emotion	1.6055999999999813	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2663	1.2632999999999868	emotion	1.2632999999999868	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2746	0.8619000000000199	emotion	0.8619000000000199	right	correct	n/a	male	black	black	black	anger
175.2828	1.4604999999999961	emotion	1.4604999999999961	left	correct	n/a	female	black	asian	asian	anger
180.2911	1.0681999999999903	emotion	1.0681999999999903	right	correct	n/a	male	caucasian	caucasian	white	fear
185.2993	1.0218000000000131	emotion	1.0218000000000131	right	correct	n/a	female	asian	asian	black	fear
190.3076	1.024499999999989	control	1.024499999999989	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
195.3159	0.9050000000000011	control	0.9050000000000011	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
200.3241	0.637800000000027	control	0.637800000000027	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
205.3324	0.655399999999986	control	0.655399999999986	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3406	0.7391000000000076	control	0.7391000000000076	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3489	0.5717000000000212	control	0.5717000000000212	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
220.3572	1.758199999999988	emotion	1.758199999999988	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3654	1.4809000000000196	emotion	1.4809000000000196	left	correct	n/a	female	black	asian	asian	fear
230.3737	1.3105999999999938	emotion	1.3105999999999938	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3819	1.0712000000000046	emotion	1.0712000000000046	left	correct	n/a	male	black	black	black	fear
240.3902	1.0728000000000009	emotion	1.0728000000000009	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3985	1.044399999999996	emotion	1.044399999999996	right	correct	n/a	female	asian	asian	black	anger
