onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	gender	ethn_target	ethn_match	ethn_distractor	emo_match
10.0117	0.7789000000000001	control	0.7789000000000001	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0199	0.6364999999999998	control	0.6364999999999998	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
20.0281	0.9701000000000022	control	0.9701000000000022	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0363	0.7286999999999999	control	0.7286999999999999	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0444	0.654399999999999	control	0.654399999999999	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0526	0.6370000000000005	control	0.6370000000000005	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
40.0608	1.2115999999999971	emotion	1.2115999999999971	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.069	1.0921999999999983	emotion	1.0921999999999983	right	correct	n/a	male	black	black	black	anger
50.0771	1.0338999999999956	emotion	1.0338999999999956	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0853	1.1495000000000033	emotion	1.1495000000000033	left	correct	n/a	male	black	black	black	fear
60.0935	1.2602000000000046	emotion	1.2602000000000046	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1016	0.9407999999999959	emotion	0.9407999999999959	right	correct	n/a	female	asian	black	asian	fear
70.1098	0.8264999999999958	control	0.8264999999999958	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
75.118	0.6131000000000029	control	0.6131000000000029	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1262	0.5957000000000079	control	0.5957000000000079	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
85.1343	0.6574000000000098	control	0.6574000000000098	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1425	0.921999999999997	control	0.921999999999997	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.1507	0.7925999999999931	control	0.7925999999999931	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
100.1588	1.2104999999999961	emotion	1.2104999999999961	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.167	0.7950000000000017	emotion	0.7950000000000017	left	correct	n/a	male	black	black	black	anger
110.1752	0.6036000000000001	emotion	0.6036000000000001	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1834	0.674199999999999	emotion	0.674199999999999	left	incorrect	n/a	male	black	black	black	fear
120.1915	1.5908999999999907	emotion	1.5908999999999907	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.1997	1.5553999999999917	emotion	1.5553999999999917	right	incorrect	n/a	female	asian	black	asian	anger
130.2079	0.6381000000000085	control	0.6381000000000085	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
135.2161	0.5617000000000019	control	0.5617000000000019	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2242	0.612400000000008	control	0.612400000000008	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2324	0.530099999999976	control	0.530099999999976	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2406	0.7227000000000032	control	0.7227000000000032	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
155.2487	0.6573999999999955	control	0.6573999999999955	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
160.2569	1.1728999999999985	emotion	1.1728999999999985	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2651	1.2224999999999966	emotion	1.2224999999999966	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2733	1.227199999999982	emotion	1.227199999999982	right	correct	n/a	male	black	black	black	anger
175.2814	1.2338000000000022	emotion	1.2338000000000022	right	incorrect	n/a	female	black	asian	asian	anger
180.2896	1.922399999999982	emotion	1.922399999999982	right	correct	n/a	male	caucasian	caucasian	white	fear
185.2978	1.1221000000000174	emotion	1.1221000000000174	right	correct	n/a	female	asian	asian	black	fear
190.306	0.5486999999999966	control	0.5486999999999966	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
195.3141	0.5364999999999895	control	0.5364999999999895	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
200.3223	0.6849999999999739	control	0.6849999999999739	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
205.3305	0.7966000000000122	control	0.7966000000000122	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
210.3386	0.5413999999999817	control	0.5413999999999817	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3468	0.625	control	0.625	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.355	1.0826000000000136	emotion	1.0826000000000136	left	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
225.3632	2.4221000000000004	emotion	2.4221000000000004	left	correct	n/a	female	black	asian	asian	fear
230.3713	1.0279000000000167	emotion	1.0279000000000167	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3795	0.9574999999999818	emotion	0.9574999999999818	left	correct	n/a	male	black	black	black	fear
240.3877	1.4431000000000154	emotion	1.4431000000000154	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3959	1.6596999999999866	emotion	1.6596999999999866	right	correct	n/a	female	asian	asian	black	anger
