onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	gender	ethn_target	ethn_match	ethn_distractor	emo_match
10.0115	4.617100000000001	control	4.617100000000001	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
15.0198	4.184799999999999	control	4.184799999999999	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
20.028	3.698400000000003	control	3.698400000000003	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
25.0363	4.350099999999998	control	4.350099999999998	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0446	4.933600000000002	control	4.933600000000002	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0528	1.9584000000000046	control	1.9584000000000046	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
40.0611	2.5109999999999957	emotion	2.5109999999999957	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0693	1.831700000000005	emotion	1.831700000000005	right	correct	n/a	male	black	black	black	anger
50.0776	1.7483000000000004	emotion	1.7483000000000004	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0858	1.0990000000000038	emotion	1.0990000000000038	left	correct	n/a	male	black	black	black	fear
60.0941	1.3506	emotion	1.3506	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1024	1.2241999999999962	emotion	1.2241999999999962	right	correct	n/a	female	asian	black	asian	fear
70.1106	0.7758999999999929	control	0.7758999999999929	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
75.1189	0.8585000000000065	control	0.8585000000000065	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
80.1271	0.9172000000000082	control	0.9172000000000082	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
85.1354	0.6828000000000003	control	0.6828000000000003	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
90.1436	0.5834999999999866	control	0.5834999999999866	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
95.1519	0.8311000000000064	control	0.8311000000000064	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
100.1602	1.4166999999999916	emotion	1.4166999999999916	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1684	1.1732999999999976	emotion	1.1732999999999976	left	correct	n/a	male	black	black	black	anger
110.1767	1.0730000000000075	emotion	1.0730000000000075	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1849	1.1436000000000064	emotion	1.1436000000000064	right	correct	n/a	male	black	black	black	fear
120.1932	1.323299999999989	emotion	1.323299999999989	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2015	1.5208999999999975	emotion	1.5208999999999975	left	correct	n/a	female	asian	black	asian	anger
130.2097	0.783600000000007	control	0.783600000000007	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.218	1.2571000000000083	control	1.2571000000000083	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2262	0.7258999999999958	control	0.7258999999999958	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
145.2345	0.6924999999999955	control	0.6924999999999955	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
150.2427	0.9651999999999816	control	0.9651999999999816	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
155.251	1.2146999999999935	control	1.2146999999999935	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2593	1.3482999999999947	emotion	1.3482999999999947	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2675	1.570999999999998	emotion	1.570999999999998	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2758	1.1965999999999894	emotion	1.1965999999999894	right	correct	n/a	male	black	black	black	anger
175.284	2.213300000000004	emotion	2.213300000000004	left	correct	n/a	female	black	asian	asian	anger
180.2923	1.835899999999981	emotion	1.835899999999981	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3005	1.2985999999999933	emotion	1.2985999999999933	right	correct	n/a	female	asian	asian	black	fear
190.3088	0.871200000000016	control	0.871200000000016	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
195.3171	0.8027999999999906	control	0.8027999999999906	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3253	0.755500000000012	control	0.755500000000012	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
205.3336	1.032100000000014	control	1.032100000000014	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
210.3418	1.1187999999999931	control	1.1187999999999931	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3501	0.9423999999999921	control	0.9423999999999921	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.3584	1.4140000000000157	emotion	1.4140000000000157	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3666	1.0497000000000014	emotion	1.0497000000000014	left	correct	n/a	female	black	asian	asian	fear
230.3749	3.1332999999999913	emotion	3.1332999999999913	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3831	1.5	emotion	1.5	left	correct	n/a	male	black	black	black	fear
240.3914	0.998599999999982	emotion	0.998599999999982	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3996	1.6233000000000004	emotion	1.6233000000000004	right	correct	n/a	female	asian	asian	black	anger
