onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	gender	ethn_target	ethn_match	ethn_distractor	emo_match
10.013	1.2696000000000005	control	1.2696000000000005	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
15.0212	0.7483000000000004	control	0.7483000000000004	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
20.0294	0.963000000000001	control	0.963000000000001	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
25.0376	0.6435999999999993	control	0.6435999999999993	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0458	0.5803000000000011	control	0.5803000000000011	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0541	0.7418000000000049	control	0.7418000000000049	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
40.0623	1.6683999999999983	emotion	1.6683999999999983	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0705	2.568099999999994	emotion	2.568099999999994	right	correct	n/a	male	black	black	black	anger
50.0787	1.3238000000000056	emotion	1.3238000000000056	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0869	2.449399999999997	emotion	2.449399999999997	left	correct	n/a	male	black	black	black	fear
60.0951	2.363999999999997	emotion	2.363999999999997	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1034	1.881600000000006	emotion	1.881600000000006	right	correct	n/a	female	asian	black	asian	fear
70.1116	1.334299999999999	control	1.334299999999999	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
75.1198	0.9168999999999983	control	0.9168999999999983	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.128	0.7416000000000054	control	0.7416000000000054	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
85.1362	0.729299999999995	control	0.729299999999995	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
90.1444	0.7068999999999903	control	0.7068999999999903	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.1527	0.6253999999999991	control	0.6253999999999991	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
100.1609	1.858000000000004	emotion	1.858000000000004	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1691	1.8736999999999995	emotion	1.8736999999999995	left	correct	n/a	male	black	black	black	anger
110.1773	1.4313999999999965	emotion	1.4313999999999965	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1855	1.350999999999999	emotion	1.350999999999999	right	correct	n/a	male	black	black	black	fear
120.1937	1.3666999999999945	emotion	1.3666999999999945	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.202	1.2271999999999963	emotion	1.2271999999999963	left	correct	n/a	female	asian	black	asian	anger
130.2102	1.2899000000000171	control	1.2899000000000171	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.2184	0.8634999999999877	control	0.8634999999999877	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
140.2266	0.8742000000000019	control	0.8742000000000019	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2348	0.7579000000000065	control	0.7579000000000065	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.243	0.6665000000000134	control	0.6665000000000134	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.2513	0.6701000000000192	control	0.6701000000000192	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
160.2595	2.1707000000000107	emotion	2.1707000000000107	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2677	1.429300000000012	emotion	1.429300000000012	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2759	2.218999999999994	emotion	2.218999999999994	right	correct	n/a	male	black	black	black	anger
175.2841	2.266600000000011	emotion	2.266600000000011	left	correct	n/a	female	black	asian	asian	anger
180.2923	1.9362999999999886	emotion	1.9362999999999886	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3006	1.4507999999999868	emotion	1.4507999999999868	right	correct	n/a	female	asian	asian	black	fear
190.3088	0.8135000000000048	control	0.8135000000000048	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
195.317	0.5681999999999903	control	0.5681999999999903	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3252	0.599899999999991	control	0.599899999999991	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
205.3334	0.8564999999999827	control	0.8564999999999827	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
210.3416	0.7101999999999862	control	0.7101999999999862	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
215.3499	0.7456999999999994	control	0.7456999999999994	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.3581	2.2342999999999904	emotion	2.2342999999999904	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3663	1.3060000000000116	emotion	1.3060000000000116	left	correct	n/a	female	black	asian	asian	fear
230.3745	1.762599999999992	emotion	1.762599999999992	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3827	1.5792999999999893	emotion	1.5792999999999893	left	correct	n/a	male	black	black	black	fear
240.3909	2.1539000000000215	emotion	2.1539000000000215	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3992	1.8864999999999839	emotion	1.8864999999999839	right	correct	n/a	female	asian	asian	black	anger
