onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	gender	ethn_target	ethn_match	ethn_distractor	emo_match
10.0147	2.1289	control	2.1289	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
15.0229	1.8205999999999989	control	1.8205999999999989	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
20.0312	1.8142000000000031	control	1.8142000000000031	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
25.0394	2.1008999999999993	control	2.1008999999999993	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0477	1.706500000000002	control	1.706500000000002	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0559	1.4350999999999985	control	1.4350999999999985	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
40.0642	1.8466999999999985	emotion	1.8466999999999985	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0724	2.592399999999998	emotion	2.592399999999998	right	correct	n/a	male	black	black	black	anger
50.0807	1.9450000000000003	emotion	1.9450000000000003	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0889	2.0996999999999986	emotion	2.0996999999999986	left	correct	n/a	male	black	black	black	fear
60.0972	2.1143	emotion	2.1143	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1054	2.495899999999992	emotion	2.495899999999992	right	correct	n/a	female	asian	black	asian	fear
70.1137	1.589500000000001	control	1.589500000000001	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
75.1219	1.4801999999999964	control	1.4801999999999964	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1301	1.3658999999999963	control	1.3658999999999963	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1384	3.633499999999998	control	3.633499999999998	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
90.1466	0.8521999999999963	control	0.8521999999999963	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.1549	0.8547999999999973	control	0.8547999999999973	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
100.1631	1.1454999999999984	emotion	1.1454999999999984	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1714	1.5189999999999912	emotion	1.5189999999999912	left	correct	n/a	male	black	black	black	anger
110.1796	1.1388000000000034	emotion	1.1388000000000034	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1879	1.0832999999999942	emotion	1.0832999999999942	right	correct	n/a	male	black	black	black	fear
120.1961	0.9590000000000032	emotion	0.9590000000000032	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2044	1.809599999999989	emotion	1.809599999999989	left	correct	n/a	female	asian	black	asian	anger
130.2126	0.7363	control	0.7363	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.2208	0.7330000000000041	control	0.7330000000000041	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2291	0.601600000000019	control	0.601600000000019	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2373	1.046199999999999	control	1.046199999999999	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2456	0.6377999999999986	control	0.6377999999999986	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
155.2538	0.5094999999999743	control	0.5094999999999743	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
160.2621	1.0831000000000017	emotion	1.0831000000000017	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2703	1.0518000000000143	emotion	1.0518000000000143	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2786	1.202399999999983	emotion	1.202399999999983	right	correct	n/a	male	black	black	black	anger
175.2868	1.0149999999999864	emotion	1.0149999999999864	right	incorrect	n/a	female	black	asian	asian	anger
180.2951	1.0576000000000079	emotion	1.0576000000000079	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3033	2.0952999999999804	emotion	2.0952999999999804	right	correct	n/a	female	asian	asian	black	fear
190.3115	0.6709999999999923	control	0.6709999999999923	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
195.3198	0.8035000000000139	control	0.8035000000000139	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.328	0.6963000000000079	control	0.6963000000000079	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
205.3363	0.6598000000000184	control	0.6598000000000184	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
210.3445	0.7724999999999795	control	0.7724999999999795	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
215.3528	0.5870999999999924	control	0.5870999999999924	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.361	1.024799999999999	emotion	1.024799999999999	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3693	1.179399999999987	emotion	1.179399999999987	left	correct	n/a	female	black	asian	asian	fear
230.3775	1.7760000000000105	emotion	1.7760000000000105	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3858	0.8866000000000156	emotion	0.8866000000000156	left	correct	n/a	male	black	black	black	fear
240.394	0.9562999999999988	emotion	0.9562999999999988	right	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
245.4022	0.7940000000000111	emotion	0.7940000000000111	right	correct	n/a	female	asian	asian	black	anger
