onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	gender	ethn_target	ethn_match	ethn_distractor	emo_match
10.0156	3.8389000000000006	control	3.8389000000000006	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0238	4.0634999999999994	control	4.0634999999999994	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
20.032	2.6051	control	2.6051	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0401	4.165800000000001	control	4.165800000000001	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
30.0483	2.310500000000001	control	2.310500000000001	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
35.0565	2.389099999999999	control	2.389099999999999	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
40.0646	1.7848000000000042	emotion	1.7848000000000042	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0728	3.8733000000000004	emotion	3.8733000000000004	right	correct	n/a	male	black	black	black	anger
50.081	1.4009999999999962	emotion	1.4009999999999962	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0891	1.7226999999999961	emotion	1.7226999999999961	left	correct	n/a	male	black	black	black	fear
60.0973	1.804300000000005	emotion	1.804300000000005	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1055	1.207899999999995	emotion	1.207899999999995	right	correct	n/a	female	asian	black	asian	fear
70.1137	2.144500000000008	control	2.144500000000008	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
75.1218	1.023300000000006	control	1.023300000000006	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
80.13	1.2349000000000103	control	1.2349000000000103	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1382	1.038499999999999	control	1.038499999999999	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1463	1.1732000000000085	control	1.1732000000000085	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
95.1545	1.8048000000000002	control	1.8048000000000002	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
100.1627	1.4004000000000048	emotion	1.4004000000000048	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1709	2.114999999999995	emotion	2.114999999999995	left	correct	n/a	male	black	black	black	anger
110.179	1.5786999999999978	emotion	1.5786999999999978	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1872	2.1092999999999904	emotion	2.1092999999999904	right	correct	n/a	male	black	black	black	fear
120.1954	1.6679999999999922	emotion	1.6679999999999922	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2035	2.21159999999999	emotion	2.21159999999999	left	correct	n/a	female	asian	black	asian	anger
130.2117	2.924199999999985	control	2.924199999999985	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
135.2199	1.866800000000012	control	1.866800000000012	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
140.2281	1.4574999999999818	control	1.4574999999999818	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
145.2362	1.6171999999999969	control	1.6171999999999969	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2444	1.0017999999999745	control	1.0017999999999745	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.2526	3.155300000000011	control	3.155300000000011	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2607	1.7190999999999974	emotion	1.7190999999999974	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2689	1.3086999999999875	emotion	1.3086999999999875	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2771	2.713300000000004	emotion	2.713300000000004	right	correct	n/a	male	black	black	black	anger
175.2853	3.4098999999999933	emotion	3.4098999999999933	left	correct	n/a	female	black	asian	asian	anger
180.2934	1.7466000000000008	emotion	1.7466000000000008	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3016	1.3383000000000038	emotion	1.3383000000000038	right	correct	n/a	female	asian	asian	black	fear
190.3098	2.511799999999994	control	2.511799999999994	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
195.3179	1.1036000000000001	control	1.1036000000000001	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
200.3261	1.4671999999999912	control	1.4671999999999912	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
205.3343	1.7977999999999952	control	1.7977999999999952	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
210.3424	1.9114999999999895	control	1.9114999999999895	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3506	1.6851000000000056	control	1.6851000000000056	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.3588	1.3348000000000013	emotion	1.3348000000000013	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.367	1.2583000000000197	emotion	1.2583000000000197	left	correct	n/a	female	black	asian	asian	fear
230.3751	2.3489999999999895	emotion	2.3489999999999895	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3833	1.540600000000012	emotion	1.540600000000012	left	correct	n/a	male	black	black	black	fear
240.3915	1.836199999999991	emotion	1.836199999999991	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3996	2.924900000000008	emotion	2.924900000000008	right	correct	n/a	female	asian	asian	black	anger
